"Артикул";"Ozon Product ID";"FBS OZON SKU ID";"Наименование товара";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Доступно на ""Тихвин, Мебельная 1"", шт";"Зарезервировано на ""Тихвин, Мебельная 1"", шт"
"2001459845004";"57181345";"241716147";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 44-46/170)";"18";"0";"18";"0"
"2001459845073";"57181346";"241715689";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/176)";"41";"0";"41";"0"
"2001459845080";"57181347";"241715615";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/182)";"35";"0";"35";"0"
"2001459845059";"57181348";"241715663";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/170)";"34";"0";"34";"0"
"2001459874783";"57181349";"241716272";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 44-46/176)";"11";"0";"11";"0"
"2001459845103";"57181355";"241715800";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/170)";"24";"0";"24";"0"
"2001459845097";"57181356";"241715787";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/188)";"22";"0";"22";"0"
"2001459845134";"57181358";"241715458";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/188)";"36";"0";"36";"0"
"2001459845127";"57181359";"241716138";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/182)";"38";"0";"38";"0"
"2001459845158";"57181364";"241715452";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 56-58/176)";"14";"0";"14";"0"
"2001459871348";"57181365";"241715454";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 56-58/182)";"14";"0";"14";"0"
"2001459845172";"57181366";"241715469";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 56-58/188)";"14";"0";"14";"0"
"2001459871355";"57181367";"241715459";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 60-62/176)";"10";"0";"10";"0"
"2001459871362";"57181368";"241715462";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 60-62/182)";"6";"0";"6";"0"
"2001459871379";"57181369";"241715461";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 60-62/188)";"12";"0";"12";"0"
"2001459871386";"57181370";"241715478";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 64-66/182)";"13";"0";"13";"0"
"2000470400018";"57181371";"241715497";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2000470390012";"57181372";"241715491";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2000470420016";"57181373";"241715466";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2001459854440";"57181374";"242753364";"Комбинезон 8831-TWILL FT-16/15";"1";"0";"1";"0"
"2001459854464";"57181375";"242755121";"Комбинезон 8831-TWILL FT-16/15";"2";"0";"2";"0"
"2001459854457";"57181376";"242723870";"Комбинезон 8831-TWILL FT-16/15";"7";"0";"7";"0"
"2000470440014";"57181377";"241715463";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2000470430015";"57181378";"241715460";"Комбинезон 888R-PP-15";"0";"0";"0";"0"
"2001459854471";"57181379";"242727079";"Комбинезон 8831-TWILL FT-16/15";"1";"0";"1";"0"
"2001459854525";"57181381";"242815997";"Комбинезон 8831-TWILL FT-16/15";"1";"0";"1";"0"
"2001459854488";"57181382";"242733664";"Комбинезон 8831-TWILL FT-16/15";"0";"0";"0";"0"
"2001459854518";"57181383";"241718344";"Комбинезон 8831-TWILL FT-16/15";"2";"0";"2";"0"
"2001459854532";"57181384";"242753396";"Комбинезон 8831-TWILL FT-16/15";"4";"0";"4";"0"
